date,city,pm25,pm10,no2,nh3,so2,co,o3,temperature,humidity,aqi
2025-01-01,Agra,67.6,101.4,55.6,11.5,14.0,42.1,11.6,15.2,63.1,101
2025-01-08,Agra,76.5,114.7,58.6,10.8,18.4,44.2,10.6,15.5,64.9,114
2025-01-15,Agra,87.9,131.8,63.0,10.4,25.6,38.6,18.7,16.0,66.5,131
2025-01-22,Agra,78.3,117.4,52.5,4.2,20.8,70.7,24.7,16.6,68.1,117
2025-01-29,Agra,102.8,154.1,64.8,18.7,22.0,50.9,29.8,17.3,69.6,154
2025-02-05,Agra,116.8,175.2,69.4,10.6,24.9,83.2,22.2,18.1,70.9,175
2025-02-12,Agra,117.9,176.9,66.3,6.7,11.8,5.0,25.4,19.1,72.1,176
2025-02-19,Agra,118.7,178.1,63.5,12.6,31.9,35.3,36.3,20.1,73.0,178
2025-02-26,Agra,112.0,168.0,57.2,10.6,6.5,50.7,26.0,21.1,73.8,167
2025-03-05,Agra,135.3,203.0,66.3,3.5,9.3,39.1,26.6,22.3,74.4,202
2025-03-12,Agra,121.1,181.6,57.1,14.3,26.3,65.0,13.6,23.5,74.8,181
2025-03-19,Agra,149.2,223.8,68.2,13.6,14.1,55.9,26.5,24.7,75.0,223
2025-03-26,Agra,146.0,219.1,64.9,15.0,16.4,55.2,28.0,25.9,74.9,219
2025-04-02,Agra,110.5,165.7,48.0,8.7,15.4,75.1,24.2,27.1,74.7,165
2025-04-09,Agra,129.6,194.4,55.3,2.0,25.3,44.7,15.1,28.2,74.2,194
2025-04-16,Agra,143.8,215.7,60.6,9.6,13.5,44.0,17.9,29.3,73.5,215
2025-04-23,Agra,177.2,265.9,74.1,11.7,26.3,21.9,16.4,30.4,72.6,265
2025-04-30,Agra,145.9,218.9,60.8,8.9,26.8,123.8,15.7,31.4,71.6,218
2025-05-07,Agra,154.5,231.7,64.5,14.0,31.9,48.4,28.3,32.2,70.4,231
2025-05-14,Agra,138.6,207.8,58.2,7.4,16.3,95.9,24.9,33.0,69.0,207
2025-05-21,Agra,127.6,191.4,54.2,16.0,20.5,34.4,14.4,33.7,67.5,191
2025-05-28,Agra,138.3,207.5,59.7,10.2,22.5,80.3,17.9,34.2,65.8,207
2025-06-04,Agra,138.1,207.1,60.9,11.8,28.8,97.1,15.8,34.6,64.1,207
2025-06-11,Agra,130.0,195.0,58.8,3.0,20.3,28.1,32.2,34.9,62.4,194
2025-06-18,Agra,125.1,187.6,58.3,9.7,20.5,77.8,19.4,35.0,60.6,187
2025-06-25,Agra,130.3,195.4,62.9,9.8,12.9,61.1,21.6,35.0,58.8,195
2025-07-02,Agra,126.6,190.0,63.7,5.2,19.1,55.3,33.6,34.8,57.0,189
2025-07-09,Agra,93.6,140.4,49.2,11.5,24.8,44.4,16.9,34.5,55.2,140
2025-07-16,Agra,104.1,156.1,57.5,5.2,27.7,83.4,19.5,34.0,53.6,156
2025-07-23,Agra,117.0,175.5,68.1,11.4,23.1,103.9,17.5,33.5,52.0,175
2025-07-30,Agra,83.0,124.5,51.2,5.6,15.4,56.8,24.6,32.7,50.5,124
2025-08-06,Agra,91.8,137.7,60.2,10.5,10.1,91.5,33.4,31.9,49.2,137
2025-08-13,Agra,70.7,106.1,49.5,7.4,25.7,60.5,21.4,31.0,48.0,128
2025-08-20,Agra,76.0,114.0,56.9,11.4,12.7,28.1,28.0,30.0,47.0,114
2025-08-27,Agra,75.5,113.3,60.5,7.7,12.9,27.0,17.5,28.9,46.2,113
2025-09-03,Agra,63.8,95.7,54.8,10.5,18.3,69.4,10.6,27.8,45.6,95
2025-09-10,Agra,76.8,115.2,70.7,11.5,21.0,60.7,23.6,26.6,45.2,115
2025-09-17,Agra,61.9,92.8,60.9,7.5,16.5,111.7,19.5,25.4,45.0,92
2025-09-24,Agra,59.3,88.9,62.1,4.8,17.4,69.3,20.9,24.2,45.0,88
2025-10-01,Agra,48.8,73.2,54.1,7.4,23.8,52.6,31.7,23.0,45.3,118
2025-10-08,Agra,57.1,85.6,66.3,7.8,15.4,6.9,17.6,21.9,45.8,85
2025-10-15,Agra,56.2,84.3,67.8,15.8,21.9,19.4,5.0,20.7,46.4,109
2025-10-22,Agra,45.2,67.7,55.8,9.4,21.5,67.0,11.2,19.7,47.3,107
2025-10-29,Agra,46.5,69.7,58.0,11.4,19.9,98.9,5.2,18.7,48.3,99
2025-11-05,Agra,42.9,64.3,53.4,6.6,28.9,73.5,14.0,17.8,49.6,144
2025-11-12,Agra,43.8,65.7,53.5,19.7,16.6,65.6,27.3,17.0,50.9,98
2025-11-19,Agra,51.6,77.4,61.2,13.5,12.9,86.7,13.4,16.4,52.4,77
2025-11-26,Agra,49.3,73.9,56.0,9.8,21.7,107.9,20.6,15.8,54.0,108
2025-12-03,Agra,54.6,81.9,58.9,10.0,22.9,32.9,14.6,15.4,55.7,114
2025-12-10,Agra,60.0,90.0,61.0,4.0,14.4,62.4,38.3,15.1,57.5,90
2025-12-17,Agra,72.7,109.1,69.2,10.3,21.8,53.9,23.9,15.0,59.3,109
2025-12-24,Agra,52.3,78.4,46.5,8.2,16.1,68.9,16.2,15.0,61.1,80
2025-01-01,Ahmedabad,45.9,68.9,37.7,7.3,9.8,41.9,33.5,15.2,63.1,68
2025-01-08,Ahmedabad,52.2,78.3,40.0,7.8,15.0,63.2,30.1,15.5,64.9,78
2025-01-15,Ahmedabad,57.8,86.8,41.4,4.8,12.9,50.9,20.9,16.0,66.5,86
2025-01-22,Ahmedabad,68.3,102.4,45.8,8.2,10.3,40.9,19.2,16.6,68.1,102
2025-01-29,Ahmedabad,66.9,100.3,42.2,8.2,17.1,14.4,13.4,17.3,69.6,100
2025-02-05,Ahmedabad,78.5,117.7,46.6,7.5,14.0,37.4,34.9,18.1,70.9,117
2025-02-12,Ahmedabad,75.0,112.5,42.2,6.2,12.6,55.0,21.1,19.1,72.1,112
2025-02-19,Ahmedabad,92.7,139.1,49.6,4.8,15.7,26.9,20.9,20.1,73.0,139
2025-02-26,Ahmedabad,92.8,139.2,47.4,7.4,16.3,41.9,29.1,21.1,73.8,139
2025-03-05,Ahmedabad,102.7,154.0,50.3,6.2,13.4,60.8,5.0,22.3,74.4,154
2025-03-12,Ahmedabad,94.8,142.2,44.7,14.3,12.5,38.7,22.7,23.5,74.8,142
2025-03-19,Ahmedabad,109.4,164.1,50.0,10.7,14.7,46.1,28.9,24.7,75.0,164
2025-03-26,Ahmedabad,83.3,125.0,37.1,14.0,7.5,61.5,45.2,25.9,74.9,125
2025-04-02,Ahmedabad,94.7,142.1,41.2,13.8,18.3,22.9,26.7,27.1,74.7,142
2025-04-09,Ahmedabad,105.5,158.2,45.0,5.2,9.1,16.1,33.8,28.2,74.2,158
2025-04-16,Ahmedabad,108.3,162.4,45.6,4.8,13.2,34.8,31.6,29.3,73.5,162
2025-04-23,Ahmedabad,116.4,174.6,48.7,7.3,14.4,38.7,15.0,30.4,72.6,174
2025-04-30,Ahmedabad,89.3,134.0,37.2,7.1,16.0,5.0,30.1,31.4,71.6,133
2025-05-07,Ahmedabad,114.0,170.9,47.6,8.2,8.4,47.4,24.8,32.2,70.4,170
2025-05-14,Ahmedabad,107.8,161.7,45.3,9.8,20.9,55.6,40.0,33.0,69.0,161
2025-05-21,Ahmedabad,117.4,176.2,49.9,2.8,14.0,50.9,20.1,33.7,67.5,176
2025-05-28,Ahmedabad,99.3,149.0,42.9,10.3,19.4,48.9,26.2,34.2,65.8,148
2025-06-04,Ahmedabad,93.9,140.9,41.4,7.9,11.5,75.6,23.7,34.6,64.1,140
2025-06-11,Ahmedabad,92.1,138.2,41.7,7.4,10.1,39.8,11.5,34.9,62.4,138
2025-06-18,Ahmedabad,102.1,153.1,47.6,8.3,9.1,54.8,19.7,35.0,60.6,153
2025-06-25,Ahmedabad,101.1,151.6,48.8,7.0,9.8,11.4,37.1,35.0,58.8,151
