date,city,state,pm25,pm10,no2,nh3,so2,co,o3,temperature,humidity,aqi
2025-01-01,Visakhapatnam,Andhra Pradesh,40.0,60.0,32.9,7.9,11.3,51.0,48.9,20.2,63.1,97
2025-01-08,Visakhapatnam,Andhra Pradesh,45.6,68.4,35.0,3.6,15.1,19.3,25.5,20.5,64.9,75
2025-01-15,Visakhapatnam,Andhra Pradesh,63.0,94.4,45.1,5.8,13.6,62.6,24.3,21.0,66.5,94
2025-01-22,Visakhapatnam,Andhra Pradesh,61.2,91.8,41.1,6.1,13.9,41.8,14.0,21.6,68.1,91
2025-01-29,Visakhapatnam,Andhra Pradesh,66.0,98.9,41.6,3.0,12.7,79.7,41.3,22.3,69.6,98
2025-02-05,Visakhapatnam,Andhra Pradesh,68.3,102.4,40.6,4.2,13.1,25.5,56.4,23.1,70.9,112
2025-02-12,Visakhapatnam,Andhra Pradesh,78.0,117.0,43.9,7.3,10.9,57.0,6.2,24.1,72.1,116
2025-02-19,Visakhapatnam,Andhra Pradesh,60.0,90.1,32.1,10.4,17.0,24.9,28.2,25.1,73.0,90
2025-02-26,Visakhapatnam,Andhra Pradesh,71.0,106.5,36.2,5.3,11.8,61.4,45.6,26.1,73.8,106
2025-03-05,Visakhapatnam,Andhra Pradesh,80.2,120.4,39.3,6.5,3.9,52.0,5.0,27.3,74.4,120
2025-03-12,Visakhapatnam,Andhra Pradesh,71.7,107.5,33.8,6.7,2.0,49.3,32.3,28.5,74.8,107
2025-03-19,Visakhapatnam,Andhra Pradesh,105.2,157.9,48.1,9.9,7.8,21.1,36.1,29.7,75.0,157
2025-03-26,Visakhapatnam,Andhra Pradesh,90.0,135.1,40.0,9.5,18.6,25.0,10.0,30.9,74.9,135
2025-04-02,Visakhapatnam,Andhra Pradesh,91.3,137.0,39.7,7.3,5.0,42.2,35.9,32.1,74.7,137
2025-04-09,Visakhapatnam,Andhra Pradesh,92.0,138.0,39.3,6.7,10.0,45.0,60.7,33.2,74.2,137
2025-04-16,Visakhapatnam,Andhra Pradesh,104.0,155.9,43.8,4.9,9.1,36.1,42.5,34.3,73.5,155
2025-04-23,Visakhapatnam,Andhra Pradesh,95.1,142.7,39.8,5.5,19.6,22.6,32.2,35.4,72.6,142
2025-04-30,Visakhapatnam,Andhra Pradesh,101.9,152.8,42.5,9.4,9.8,28.6,28.1,36.4,71.6,152
2025-05-07,Visakhapatnam,Andhra Pradesh,99.7,149.5,41.6,7.8,16.7,38.8,33.0,37.2,70.4,149
2025-05-14,Visakhapatnam,Andhra Pradesh,91.7,137.5,38.5,5.8,15.6,41.1,28.9,38.0,69.0,137
